,Target RPM: 225,,,,,,,,,,,,,,,,
Test Values of kp,,,,,,,,Test Values of ki for kp = 10,,,,,,Test Values of kp and ki,,,
kp = 12,Average:,kp = 10,Average:,kp = 8,Average:,kp = 5,Average:,ki = 20,Average:,ki = 15,Average:,ki = 10,Average:,kp = 8; ki = 15,Average:,kp = 5; ki = 20,Average:
-210.97,,-205.66,,-200.43,,-187.34,,-226.22,,-229,,-224.73,,-224.22,,-224.56,
-208.89,,-204.18,,-201.04,,-187.57,,-223.65,,-228.61,,-225.13,,-224.7,,-226.6,
-206.49,,-204.65,,-200.96,,-187.81,,-223.07,,-226.06,,-223.94,,-223.34,,-226.8,
-207.02,,-206.76,,-200.38,,-187.66,,-222.64,,-224.6,,-223.71,,-223.59,,-225.5,
-208.29,,-206.7,,-201.01,,-188.52,,-222.07,,-223.18,,-225,,-225.23,,-225.56,
-209.15,,-205.71,,-200.95,,-188.23,,-223.53,,-221.23,,-225.18,,-224.83,,-226.45,
-210.46,,-206.09,,-200.31,,-187.93,,-226.57,,-221.99,,-223.82,,-223.16,,-225.4,
-210.21,,-205.16,,-200.91,,-187.96,,-227.78,,-225.63,,-223.45,,-223.27,,-223.93,
-208.35,,-203.84,,-200.88,,-187.03,,-226.69,,-228.99,,-224.64,,-224.72,,-224.31,
-207.56,,-204.75,,-200.27,,-187.48,,-225.25,,-229.24,,-225.11,,-224.51,,-224.09,
-207.07,,-205.5,,-200.91,,-187.84,,-224.82,,-227.21,,-224.04,,-223.07,,-222.97,
-206.51,,-205.6,,-200.92,,-187.65,,-224.04,,-225.99,,-223.81,,-223.37,,-223.3,
-208.28,,-206.45,,-200.23,,-188.49,,-222.16,,-224.28,,-225.06,,-225.06,,-225.14,
-211.55,,-206.27,,-200.83,,-188.2,,-222.32,,-221.47,,-225.22,,-225.03,,-225.89,
-212.43,,-204.83,,-200.98,,-187.95,,-224.94,,-221.11,,-223.74,,-223.51,,-224.98,
-211.13,,-204.55,,-200.52,,-188.13,,-226.6,,-224.13,,-223.32,,-223.56,,-224.19,
-210.13,,-204.7,,-201.19,,-187.32,,-226.15,,-226.71,,-224.68,,-223.56,,-225.15,
-208.16,,-204.4,,-201.18,,-187.55,,-225.3,,-227,,-225.25,,-222.38,,-227.04,
-205.66,,-205.66,,-200.43,,-187.69,,-225.43,,-226.48,,-224.21,,-222.75,,-226.76,
-206.48,,-206.5,,-200.85,,-187.56,,-226.1,,-226.4,,-223.99,,-225.17,,-225.14,
-209.37,,-205.36,,-200.72,,-188.51,,-224.54,,-226.61,,-225.17,,-227.54,,-225.11,
-210.74,,-205.53,,-200.08,,-188.33,,-222.65,,-224.85,,-225.28,,-227.15,,-224.79,
-211.45,,-206.87,,-200.8,,-188.18,,-223.22,,-222.58,,-223.78,,-224.93,,-223.06,
-212.16,,-206.03,,-201.03,,-188.28,,-223.88,,-222.53,,-223.31,,-223.9,,-222.79,
-210.61,,-204.57,,-200.61,,-187.23,,-223.7,,-222.95,,-224.63,,-222.9,,-224.55,
-207.67,,-205,,-201.31,,-187.42,,-224.41,,-223.01,,-225.26,,-221.34,,-225.49,
-206.83,,-204.79,,-201.25,,-187.61,,-226.1,,-224.42,,-224.4,,-221.97,,-225.04,
-207.01,,-204.53,,-200.47,,-187.54,,-226.22,,-226.79,,-223.72,,-225.01,,-224.84,
-207.76,,-205.96,,-200.91,,-188.55,,-224.43,,-228.38,,-224.82,,-226.81,,-225.78,
-209.89,,-206.29,,-200.76,,-188.33,,-223.52,,-227.21,,-226.8,,-226.48,,-227.39,
-210.76,,-205.6,,-200.08,,-188.07,,-224.33,,-224.82,,-226.38,,-225.65,,-226.97,
-209.25,,-205.83,,-200.67,,-188.02,,-224.53,,-223.83,,-224.75,,-225.58,,-225.08,
-208.55,,-205.27,,-200.76,,-187.02,,-223.46,,-222.52,,-224.28,,-226.11,,-224.77,
-207.93,,-203.84,,-200.38,,-187.39,,-223.61,,-221.07,,-223.32,,-224.54,,-225.53,
-206.3,,-204.37,,-201.17,,-187.47,,-225.33,,-222.55,,-222.08,,-222.5,,-224.59,
-207.12,,-205.53,,-201.2,,-187.21,,-225.93,,-226.42,,-223.07,,-222.71,,-223.43,
-210.3,,-205.62,,-200.56,,-188.27,,-224.93,,-229.85,,-226.01,,-223.02,,-224.12,
-211.79,,-206.5,,-200.96,,-188.2,,-224.05,,-230.03,,-228.76,,-222.68,,-224.24,
-211.17,,-206.53,,-200.7,,-188.1,,-224.75,,-227.55,,-228.7,,-223.82,,-223.28,
-210.52,,-204.75,,-200.04,,-188.15,,-225.04,,-226.05,,-226.42,,-226.26,,-223.61,
-208.66,,-204.75,,-200.8,,-187.31,,-223.62,,-224.13,,-225.08,,-226.95,,-225.37,
-206.15,,-205.12,,-201,,-187.79,,-223.47,,-221.16,,-223.52,,-225.41,,-226.03,
-206.41,,-204.12,,-200.5,,-188.08,,-225.25,,-221.01,,-221.44,,-224.31,,-225.26,
-208.42,,-204.57,,-201.11,,-187.88,,-227.19,,-224.43,,-222.19,,-224.58,,-224.75,
-209.63,,-206.72,,-201.19,,-188.71,,-226.62,,-227.18,,-225.84,,-224.12,,-225.69,
-210.83,,-207.46,,-200.68,,-188.42,,-224.87,,-227.49,,-229.45,,-222.64,,-227.33,
-211.99,,-206.65,,-201.13,,-188.08,,-224.39,,-226.9,,-229.86,,-222.8,,-226.86,
-211.02,,-206.41,,-200.84,,-188.02,,-223.43,,-226.66,,-227.75,,-224.75,,-224.98,
-208.69,,-205.25,,-200.03,,-187.02,,-221.92,,-226.7,,-226.48,,-225.69,,-224.74,
-207.51,,-203.77,,-200.61,,-187.23,,-222.87,,-224.68,,-225.85,,-224.82,,-224.37,
-206.56,,-204.32,,-200.76,,-187.41,,-226.13,,-222.26,,-223.38,,-224.56,,-222.84,
-206.6,,-205.17,,-200.35,,-187.31,,-229.17,,-222.22,,-221.25,,-225.4,,-223.03,
-209.15,,-205.17,,-201.08,,-188.3,,-229.24,,-222.91,,-222.77,,-224.89,,-224.9,
-210.99,,-206.06,,-201.24,,-188.09,,-226.94,,-223.29,,-224.89,,-223.05,,-226.72,
-210.22,,-206.51,,-200.7,,-187.96,,-225.71,,-224.66,,-225.52,,-222.75,,-226.67,
-209.85,,-205.15,,-201.08,,-188.19,,-224.14,,-227.03,,-225.76,,-224.4,,-225.39,
-210.21,,-205.05,,-200.83,,-187.39,,-221.6,,-228.69,,-226.7,,-225.16,,-225.57,
-208.38,,-205.21,,-200.21,,-187.7,,-221.76,,-227.48,,-227.76,,-224.3,,-225.2,
-206.43,,-204.02,,-200.85,,-187.89,,-225.13,,-224.91,,-226.32,,-224.31,,-223.39,
-207.38,,-204.42,,-200.93,,-187.71,,-228.8,,-223.7,,-223.86,,-225.45,,-223.14,
-208.69,,-206.62,,-200.49,,-188.58,,-229.45,,-222.4,,-223.13,,-225.26,,-224.69,
-209.22,,-207.11,,-201.17,,-188.34,,-227.69,,-221.11,,-222.67,,-223.69,,-225.18,
-210.16,,-206.31,,-201.14,,-188.17,,-226.67,,-222.56,,-222.2,,-223.29,,-224.55,
-209.72,,-206.49,,-200.43,,-188.27,,-226.16,,-226.31,,-223.77,,-224.74,,-224.42,
-207.85,,-205.62,,-200.95,,-187.3,,-223.76,,-228.27,,-226.89,,-225.3,,-225.48,
